source_row,Title,Publication,Date,DOI,remaining_reason,elsevier_status,is_oa,oa_status,best_oa_url,unpaywall_pdf_status,unpaywall_pdf_file,unpaywall_pdf_error
0,Anhydrous Atomic Layer Deposition of HfO2: Mechanistic Analysis of the Tetrakis(dimethylamido)hafnium (TDMAH)–O2Process,Langmuir,2025-12-30,10.1021/acs.langmuir.5c05147,closed in Unpaywall,404 not found,False,closed,,,,
4,Thin Ga2O3 insertion layer for phase structure and electrical property evolutions in ferroelectric Hf0.5Zr0.5O2 capacitors,Applied Physics Letters,2025-12-29,10.1063/5.0301196,closed in Unpaywall,404 not found,False,closed,,,,
5,Plasma-enhanced ALD growth of ε-(AlxGa1−x)2O3alloy films with high Al content and tunable band offsets,Journal of Materials Chemistry C,2025-12-28,10.1039/d5tc03299g,closed in Unpaywall,404 not found,False,closed,,,,
6,Atomic Layer Processes for UV-Stable Polymers: Synergistic Effects of Infiltration and Deposition of ZnO,ACS Applied Materials and Interfaces,2025-12-24,10.1021/acsami.5c14025,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acsami.5c14025,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsami.5c14025')
7,Method of Quantified Mass Spectrometry for Atomic Layer Deposition Fluidized Bed Reactors,Chemistry of Materials,2025-12-23,10.1021/acs.chemmater.5c02268,closed in Unpaywall,404 not found,False,closed,,,,
8,Role of Nonplasma Oxidizing Agent on the Reaction Step in Atomic Layer Deposition of Titanium Oxide Thin Films,ACS Omega,2025-12-23,10.1021/acsomega.5c06117,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1021/acsomega.5c06117,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsomega.5c06117')
9,Mobility and Threshold Voltage Co-Optimization of IGZO Field-Effect Transistor with Ideal Subthreshold Swing through Atomic Layer Growth Control,Advanced Electronic Materials,2025-12-17,10.1002/aelm.202500524,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500524,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500524')
10,"Precursor development for the growth of Ru, Re, and Al metal films by thermal atomic layer deposition",Organometallic Chemistry,2025-12-17,10.1039/9781837070725-00268,closed in Unpaywall,404 not found,False,closed,,,,
11,Oxidant-Dependent Conduction in Early-Cycle Atomic-Layer-Deposited Al2O3and Its Impact on the Dielectric Behavior of Al2O3/TiO2Nanolaminates,ACS Applied Materials and Interfaces,2025-12-17,10.1021/acsami.5c18459,closed in Unpaywall,404 not found,False,closed,,,,
13,Plasma Atomic Layer Etching Process of Silicon/Aluminum Oxide,Surface Technology,2025-12-10,10.16490/j.cnki.issn.1001-3660.2025.23.004,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
