doi,file_name,status,oa_status,best_host_type,source_url,resolved_url,bytes,http_status,error
10.1002/9783527845729.ch6,,failed,gold,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9783527845729.ch6,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9783527845729.ch6')
10.1002/adem.202201262,unpaywall_oa_0002.pdf,downloaded,hybrid,publisher,https://research.abo.fi/ws/files/45369368/Adv_Eng_Mater_2022_Jussila_High_Quality_Magnetically_Hard_Fe2O3_Thin_Films_through_Atomic_Layer_Deposition_for.pdf,https://research.abo.fi/ws/files/45369368/Adv_Eng_Mater_2022_Jussila_High_Quality_Magnetically_Hard_Fe2O3_Thin_Films_through_Atomic_Layer_Deposition_for.pdf,1596062,200.0,alt_location:repository:url_for_pdf
10.1002/adem.202201263,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202201263,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202201263')
10.1002/adem.202201901,unpaywall_oa_0004.pdf,downloaded,hybrid,publisher,https://cronfa.swan.ac.uk/Record/cronfa63132/Download/63132__27421__5edd85ea4f9b429592ba2621c7f2901d.pdf,https://cronfa.swan.ac.uk/Record/cronfa63132/Download/63132__27421__5edd85ea4f9b429592ba2621c7f2901d.pdf,1200913,200.0,alt_location:repository:url_for_pdf
10.1002/adem.202300443,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202300443,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202300443')
10.1002/adem.202300677,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202300677,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202300677')
10.1002/adem.202302257,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202302257,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202302257')
10.1002/adem.202401546,unpaywall_oa_0008.pdf,downloaded,hybrid,publisher,https://hal.science/hal-05086499/document,https://hal.science/hal-05086499/document,2804619,200.0,alt_location:repository:url_for_pdf
10.1002/adem.202402614,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202402614,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202402614')
10.1002/adem.202501319,,failed,hybrid,publisher,https://doi.org/10.1002/adem.202501319,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202501319')
10.1002/adfm.202108774,unpaywall_oa_0011.pdf,downloaded,bronze,publisher,https://www.osti.gov/servlets/purl/1833843,https://www.osti.gov/servlets/purl/1833843,8816400,200.0,alt_location:repository:url_for_pdf
10.1002/adfm.202302236,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202302236,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202302236')
10.1002/adfm.202314457,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202314457,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202314457')
10.1002/adfm.202315925,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202315925,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202315925')
10.1002/adfm.202316872,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202316872,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202316872')
10.1002/adfm.202423888,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423888,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423888')
10.1002/adfm.202423911,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423911,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423911')
10.1002/adma.202300673,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300673,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300673')
10.1002/adma.202413404,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202413404,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202413404')
10.1002/adma.202500327,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202500327,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202500327')
10.1002/admi.202101278,unpaywall_oa_0021.pdf,downloaded,bronze,publisher,https://pure.tue.nl/ws/files/201345419/Adv_Materials_Inter_2022_Mameli_High_Throughput_Atomic_Layer_Deposition_of_P_Type_SnO_Thin_Film_Transistors_Using_Tin.pdf,https://pure.tue.nl/ws/files/201345419/Adv_Materials_Inter_2022_Mameli_High_Throughput_Atomic_Layer_Deposition_of_P_Type_SnO_Thin_Film_Transistors_Using_Tin.pdf,1316301,200.0,alt_location:repository:url_for_pdf
10.1002/admi.202102035,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202102035,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202102035')
10.1002/admi.202200013,unpaywall_oa_0023.pdf,downloaded,hybrid,publisher,https://opus4.kobv.de/opus4-th-wildau/frontdoor/index/index/docId/1607,https://opus4.kobv.de/opus4-th-wildau/frontdoor/deliver/index/docId/1607/file/AdvMaterialsInter-2022.pdf,2024469,200.0,alt_location:repository:url
10.1002/admi.202200370,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202200370,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202200370')
10.1002/admi.202200575,unpaywall_oa_0025.pdf,downloaded,hybrid,publisher,https://hdl.handle.net/11492/6332,https://earsiv.kmu.edu.tr/server/api/core/bitstreams/c7537d0b-2eaf-40c8-a5f5-3518855769b4/content,3822282,200.0,alt_location:repository:url
10.1002/admi.202200582,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202200582,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202200582')
10.1002/admi.202200643,unpaywall_oa_0027.pdf,downloaded,green,repository,http://edoc.hu-berlin.de/18452/26107,https://edoc.hu-berlin.de/server/api/core/bitstreams/36ab070a-50b0-4818-979c-986627fa4056/content,2631451,200.0,
10.1002/admi.202201598,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202201598,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202201598')
10.1002/admi.202201709,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202201709,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202201709')
10.1002/admi.202201910,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202201910,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202201910')
10.1002/admi.202201934,unpaywall_oa_0031.pdf,downloaded,gold,publisher,https://biblio.ugent.be/publication/01GSFB7WYTBHMZCARD29BVE63M/file/01GSFBEGM9X5FS45NJNGBG52CX.pdf,https://backoffice.biblio.ugent.be/download/01GSFB7WYTBHMZCARD29BVE63M/01GSFBEGM9X5FS45NJNGBG52CX,2263540,200.0,alt_location:repository:url_for_pdf
10.1002/admi.202202131,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202131,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202131')
10.1002/admi.202202141,unpaywall_oa_0033.pdf,downloaded,gold,publisher,https://hal.science/hal-04033995/document,https://hal.science/hal-04033995/document,2835570,200.0,alt_location:repository:url_for_pdf
10.1002/admi.202202166,,failed,hybrid,publisher,https://doi.org/10.1002/admi.202202166,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202202166')
10.1002/admi.202202174,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202174,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202174')
10.1002/admi.202202422,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202422,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202422')
10.1002/admi.202202445,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202445,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202445')
10.1002/admi.202300128,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300128,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300128')
10.1002/admi.202300173,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300173,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300173')
10.1002/admi.202300244,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300244,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300244')
10.1002/admi.202300420,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300420,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202300420')
10.1002/admi.202300990,unpaywall_oa_0042.pdf,downloaded,gold,publisher,https://open.fau.de/handle/openfau/32178,https://open.fau.de/server/api/core/bitstreams/c4e9a824-1d2e-4e83-99ca-5575dcbe1f5a/content,3787055,200.0,alt_location:repository:url
10.1002/admi.202400262,,failed,gold,publisher,https://doi.org/10.1002/admi.202400262,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202400262')
10.1002/admi.202400269,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400269,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400269')
10.1002/admi.202400270,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400270,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400270')
10.1002/admi.202400371,unpaywall_oa_0046.pdf,downloaded,gold,publisher,https://open.fau.de/handle/openfau/34557,https://open.fau.de/server/api/core/bitstreams/9db698ae-d8cf-4616-a1b8-87df750e5d1f/content,5211658,200.0,alt_location:repository:url
10.1002/admi.202400408,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400408,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400408')
10.1002/admi.202400537,unpaywall_oa_0048.pdf,downloaded,gold,publisher,https://opus4.kobv.de/opus4-btu/frontdoor/index/index/docId/6984,https://opus4.kobv.de/opus4-btu/frontdoor/deliver/index/docId/6984/file/In_Situ_X_Ray_Photoelectron_Spectroscopy.pdf,2134366,200.0,alt_location:repository:url
10.1002/admi.202400579,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400579,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400579')
10.1002/admi.202400693,,failed,gold,publisher,https://doi.org/10.1002/admi.202400693,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202400693')
10.1002/admi.202400758,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400758,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400758')
10.1002/admi.202400831,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400831,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400831')
10.1002/admi.202500079,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500079,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500079')
10.1002/admi.202500140,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500140,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500140')
10.1002/admi.202500594,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500594,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202500594')
10.1002/admt.202100953,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202100953,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202100953')
10.1002/admt.202200796,,failed,hybrid,publisher,https://doi.org/10.1002/admt.202200796,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admt.202200796')
10.1002/admt.202300435,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202300435,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202300435')
10.1002/admt.202301541,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301541,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301541')
10.1002/admt.202301728,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301728,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202301728')
10.1002/admt.202302049,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202302049,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202302049')
10.1002/admt.202500507,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500507,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500507')
10.1002/admt.202500964,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500964,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500964')
10.1002/admt.202501155,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202501155,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202501155')
10.1002/adom.202300963,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adom.202300963,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adom.202300963')
10.1002/adsu.202300392,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adsu.202300392,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adsu.202300392')
10.1002/advs.202101988,,failed,gold,publisher,https://doi.org/10.1002/advs.202101988,,0,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202101988')
10.1002/advs.202401794,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202401794,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202401794')
10.1002/advs.202402380,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202402380,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202402380')
10.1002/advs.202405188,unpaywall_oa_0070.pdf,downloaded,gold,publisher,https://pure.tue.nl/ws/files/338841250/Advanced_Science_-_2024_-_Limpt_-_Unraveling_the_Role_of_the_Stoichiometry_of_Atomic_Layer_Deposited_Nickel_Cobalt_Oxides_1_.pdf,https://pure.tue.nl/ws/files/338841250/Advanced_Science_-_2024_-_Limpt_-_Unraveling_the_Role_of_the_Stoichiometry_of_Atomic_Layer_Deposited_Nickel_Cobalt_Oxides_1_.pdf,3432164,200.0,alt_location:repository:url_for_pdf
10.1002/advs.202410179,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202410179,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202410179')
10.1002/advs.202414483,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202414483,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202414483')
10.1002/advs.202500568,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202500568,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202500568')
10.1002/advs.202503561,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202503561,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202503561')
10.1002/aelm.202100781,unpaywall_oa_0075.pdf,downloaded,hybrid,publisher,https://pure.tue.nl/ws/files/199629478/Adv_Elect_Materials_2022_Mahlouji_Thickness_and_Morphology_Dependent_Electrical_Properties_of_ALD_Synthesized_MoS2.pdf,https://pure.tue.nl/ws/files/199629478/Adv_Elect_Materials_2022_Mahlouji_Thickness_and_Morphology_Dependent_Electrical_Properties_of_ALD_Synthesized_MoS2.pdf,4386886,200.0,alt_location:repository:url_for_pdf
10.1002/aelm.202200172,unpaywall_oa_0076.pdf,downloaded,green,repository,https://www.osti.gov/biblio/1863642,https://www.osti.gov/servlets/purl/1886235,2870873,200.0,
10.1002/aelm.202200821,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202200821,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202200821')
10.1002/aelm.202201047,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202201047,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202201047')
10.1002/aelm.202201250,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202201250,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202201250')
10.1002/aelm.202300074,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300074,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300074')
10.1002/aelm.202300135,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300135,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300135')
10.1002/aelm.202300722,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300722,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300722')
10.1002/aelm.202300798,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300798,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300798')
10.1002/aelm.202300911,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300911,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202300911')
10.1002/aelm.202400377,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400377,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400377')
10.1002/aelm.202400765,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400765,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400765')
10.1002/aelm.202500052,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500052,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500052')
10.1002/aelm.202500524,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500524,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500524')
10.1002/aenm.202102618,unpaywall_oa_0089.pdf,downloaded,green,repository,https://www.osti.gov/biblio/1829404,https://www.osti.gov/servlets/purl/1960220,3822468,200.0,alt_location:repository:url
10.1002/aenm.202203377,,failed,green,repository,http://infoscience.epfl.ch/record/300129,,0,,HTTPError('405 Client Error: Not Allowed for url: https://infoscience.epfl.ch/record/300129')
10.1002/aenm.202405532,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202405532,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202405532')
10.1002/aesr.202300115,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202300115,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202300115')
10.1002/aesr.202400091,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202400091,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202400091')
10.1002/aic.17889,unpaywall_oa_0094.pdf,downloaded,green,repository,https://www.osti.gov/biblio/1885839,https://www.osti.gov/servlets/purl/2917484,4465851,200.0,
10.1002/anie.202421259,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202421259,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202421259')
10.1002/anie.202422578,,failed,hybrid,publisher,https://doi.org/10.1002/anie.202422578,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/10.1002/anie.202422578')
10.1002/anie.202513066,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202513066,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202513066')
10.1002/batt.202300447,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202300447,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202300447')
10.1002/batt.202400133,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400133,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400133')
10.1002/batt.202400241,,failed,hybrid,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400241,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400241')
10.1002/batt.202400774,,failed,bronze,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400774,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/batt.202400774')
10.1002/bte2.20230051,,failed,gold,publisher,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bte2.20230051,,0,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bte2.20230051')
