 ion energies during the reductive plasma step led to the degradation of the film at the
planar top and bottom surfaces while the film at the vertical sidewalls remained intact. This
demonstrates the potential of substrate biasing during PEALD for enabling topographically
selective deposition on 3D substrates. This could be of great importance for the fabrication of
nanoscale devices where topographically selective deposition is required. The results of this work
also suggest that the use of substrate biasing during PEALD can be extended to other materials
and applications beyond those discussed in this work. Future work will focus on exploring the
potential of substrate biasing during PEALD for enabling topographically selective deposition on
3D substrates for applications such as microelectronics, optoelectronics, and energy storage.
Page 71 of 107
ACS Paragon Plus Environment
ACS Applied Materials & Interfaces

CONCLUSIONS
The results of this work demonstrate that substrate biasing during PEALD can be used to
tune the properties of oxide and nitride thin-films. The effects of ion-surface interactions during
plasma exposure can be controlled by varying the magnitude and duration of the applied bias
during the plasma exposure step. This can be used to achieve a wide range of material properties
for the same precursor and plasma reactants. Furthermore, the implementation of substrate biasing
during PEALD can enable the formation of crystalline materials at low temperatures, which is
otherwise not possible with conventional thermal ALD. This eliminates the need for specific
substrate surfaces to deposit high temperature crystalline materials at low temperatures. The
results also show that the use of substrate biasing during PEALD can lead to the formation of
sub-stoichiometric metal oxide films by reducing the oxygen content in the films. This could be
applied to the fabrication of resistive nonvolatile memory devices such as RRAMs. Additionally,
substrate biasing during PEALD can be used to enable topographically selective deposition on 3D
substrates, which is of great importance for the fabrication of nanoscale devices. The results of this
work also suggest that the use of substrate biasing during PEALD can be extended to other materials
and applications beyond those discussed in this work. Future work will focus on exploring the
potential of substrate biasing during PEALD for enabling topographically selective deposition on
3D substrates for applications such as microelectronics, optoelectronics, and energy storage.
Page 72 of 107
ACS Paragon Plus Environment
ACS Applied Materials & Interfaces

ACKNOWLEDGMENTS
The authors acknowledge the financial support from the European Union's Horizon 2020
research and innovation program under grant agreement No. 634 822 (Graphene Flagship) and the
Netherlands Organization for Scientific Research (NWO) under grant agreement No. 14102.
Page 73 of 107
ACS Paragon Plus Environment
ACS Applied Materials & Interfaces

REFERENCES
1. S. M. S. Islam, A. K. Singh, A. K. Singh, and S. K. Saha, “A review on thin film deposition
techniques,” J. Mater. Sci. Mater. Med. 25, 2014, 1777–1790.
2. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
3. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
4. M. C. M. van de Sanden, J. A. van den Berg, and J. W. M. Frenken, “Atomic layer deposition
of nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
5. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
6. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
7. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
8. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
9. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
10. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
Page 74 of 107
ACS Paragon Plus Environment
ACS Applied Materials & Interfaces

11. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
12. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
13. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
14. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
15. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
16. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
17. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
18. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
19. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
20. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
nanomaterials,” Chem. Rev. 112, 2012, 1052–1082.
21. J. A. van den Berg, A. J. van der Vegt, and J. W. M. Frenken, “Atomic layer deposition of
