Letters 52 (1988) 1144. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reids, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (1988) 182. B.T. McDermott, K.G. Reid, N.A. EI-Masry, S.M. Bedair, W.M. Duncan, X. Yin and F.H. Pollak, J. Crystal
Growth 93 (19
