document_id,dominant_topic,dominant_probability,topic_distribution,token_count
elsevier_paper_1000,2,0.712271,"{""0"": 0.080611, ""1"": 1.6e-05, ""2"": 0.712271, ""3"": 0.207102}",5029
elsevier_paper_1001,0,0.999722,"{""0"": 0.999722, ""1"": 0.000181, ""2"": 6.2e-05, ""3"": 3.5e-05}",446
elsevier_paper_1003,0,0.817833,"{""0"": 0.817833, ""1"": 0.066942, ""2"": 0.115189, ""3"": 3.6e-05}",397
elsevier_paper_1005,0,0.923947,"{""0"": 0.923947, ""1"": 0.075958, ""2"": 6.1e-05, ""3"": 3.5e-05}",406
elsevier_paper_1006,0,0.985553,"{""0"": 0.985553, ""1"": 0.014336, ""2"": 7e-05, ""3"": 4e-05}",377
elsevier_paper_1012,0,0.759827,"{""0"": 0.759827, ""1"": 0.165436, ""2"": 8.4e-05, ""3"": 0.074652}",322
elsevier_paper_102,0,0.841138,"{""0"": 0.841138, ""1"": 0.126153, ""2"": 0.019024, ""3"": 0.013685}",374
elsevier_paper_1020,0,0.999787,"{""0"": 0.999787, ""1"": 0.000139, ""2"": 4.7e-05, ""3"": 2.7e-05}",551
elsevier_paper_1021,0,0.872219,"{""0"": 0.872219, ""1"": 0.112315, ""2"": 0.004764, ""3"": 0.010702}",1783
elsevier_paper_1022,2,0.911507,"{""0"": 0.000561, ""1"": 0.080951, ""2"": 0.911507, ""3"": 0.006982}",5299
elsevier_paper_1028,0,0.99979,"{""0"": 0.99979, ""1"": 0.000137, ""2"": 4.7e-05, ""3"": 2.7e-05}",529
elsevier_paper_1040,0,0.928392,"{""0"": 0.928392, ""1"": 0.000188, ""2"": 0.071384, ""3"": 3.7e-05}",420
elsevier_paper_1043,0,0.999787,"{""0"": 0.999787, ""1"": 0.000139, ""2"": 4.7e-05, ""3"": 2.7e-05}",508
elsevier_paper_1052,3,0.928985,"{""0"": 0.001454, ""1"": 1.1e-05, ""2"": 0.06955, ""3"": 0.928985}",5958
elsevier_paper_1065,2,0.903777,"{""0"": 0.000526, ""1"": 0.095694, ""2"": 0.903777, ""3"": 3e-06}",5499
elsevier_paper_1080,0,0.999692,"{""0"": 0.999692, ""1"": 0.000201, ""2"": 6.8e-05, ""3"": 3.9e-05}",405
elsevier_paper_1090,0,0.936617,"{""0"": 0.936617, ""1"": 0.000228, ""2"": 0.063111, ""3"": 4.4e-05}",322
elsevier_paper_1094,0,0.760838,"{""0"": 0.760838, ""1"": 0.164679, ""2"": 5.7e-05, ""3"": 0.074427}",447
elsevier_paper_1096,0,0.560915,"{""0"": 0.560915, ""1"": 0.030694, ""2"": 0.408389, ""3"": 2e-06}",7173
elsevier_paper_110,0,0.801321,"{""0"": 0.801321, ""1"": 0.076682, ""2"": 6.2e-05, ""3"": 0.121935}",403
elsevier_paper_1100,3,0.999755,"{""0"": 0.000233, ""1"": 1e-05, ""2"": 3e-06, ""3"": 0.999755}",7246
elsevier_paper_1101,1,0.997814,"{""0"": 0.002131, ""1"": 0.997814, ""2"": 3.5e-05, ""3"": 2e-05}",860
elsevier_paper_1115,1,0.727294,"{""0"": 0.000877, ""1"": 0.727294, ""2"": 0.163824, ""3"": 0.108005}",6510
elsevier_paper_1116,0,0.999636,"{""0"": 0.999636, ""1"": 0.000237, ""2"": 8.1e-05, ""3"": 4.6e-05}",332
elsevier_paper_1117,1,0.622189,"{""0"": 0.002777, ""1"": 0.622189, ""2"": 0.036865, ""3"": 0.33817}",6355
elsevier_paper_1121,0,0.953883,"{""0"": 0.953883, ""1"": 0.045993, ""2"": 7.9e-05, ""3"": 4.5e-05}",303
elsevier_paper_1122,0,0.849547,"{""0"": 0.849547, ""1"": 0.150378, ""2"": 4.7e-05, ""3"": 2.7e-05}",609
elsevier_paper_1123,0,0.999664,"{""0"": 0.999664, ""1"": 0.000219, ""2"": 7.4e-05, ""3"": 4.3e-05}",357
elsevier_paper_1124,2,0.94741,"{""0"": 0.011859, ""1"": 0.040726, ""2"": 0.94741, ""3"": 5e-06}",4082
elsevier_paper_1125,0,0.800961,"{""0"": 0.800961, ""1"": 0.189939, ""2"": 6.2e-05, ""3"": 0.009039}",417
elsevier_paper_1126,0,0.828255,"{""0"": 0.828255, ""1"": 0.151169, ""2"": 5e-05, ""3"": 0.020525}",562
elsevier_paper_1127,3,0.929444,"{""0"": 0.039004, ""1"": 3.6e-05, ""2"": 0.031515, ""3"": 0.929444}",2822
elsevier_paper_1130,0,0.916864,"{""0"": 0.916864, ""1"": 0.062457, ""2"": 7.5e-05, ""3"": 0.020605}",360
elsevier_paper_1134,0,0.955176,"{""0"": 0.955176, ""1"": 0.016903, ""2"": 0.027898, ""3"": 2.4e-05}",582
elsevier_paper_1144,0,0.999714,"{""0"": 0.999714, ""1"": 0.000186, ""2"": 6.3e-05, ""3"": 3.6e-05}",395
elsevier_paper_115,3,0.684429,"{""0"": 0.070853, ""1"": 0.006112, ""2"": 0.238606, ""3"": 0.684429}",5701
elsevier_paper_1153,0,0.852216,"{""0"": 0.852216, ""1"": 0.09115, ""2"": 0.056588, ""3"": 4.5e-05}",357
elsevier_paper_1157,0,0.99969,"{""0"": 0.99969, ""1"": 0.000202, ""2"": 6.9e-05, ""3"": 3.9e-05}",361
elsevier_paper_1160,0,0.999605,"{""0"": 0.999605, ""1"": 0.000257, ""2"": 8.7e-05, ""3"": 5e-05}",289
elsevier_paper_1163,0,0.999899,"{""0"": 0.999899, ""1"": 6.6e-05, ""2"": 2.2e-05, ""3"": 1.3e-05}",1224
elsevier_paper_1165,0,0.999737,"{""0"": 0.999737, ""1"": 0.000171, ""2"": 5.8e-05, ""3"": 3.3e-05}",416
elsevier_paper_1166,0,0.999741,"{""0"": 0.999741, ""1"": 0.000169, ""2"": 5.7e-05, ""3"": 3.3e-05}",434
elsevier_paper_1167,0,0.94391,"{""0"": 0.94391, ""1"": 0.000231, ""2"": 0.055814, ""3"": 4.5e-05}",334
elsevier_paper_117,0,0.983077,"{""0"": 0.983077, ""1"": 0.016825, ""2"": 6.2e-05, ""3"": 3.6e-05}",409
elsevier_paper_1175,0,0.999544,"{""0"": 0.999544, ""1"": 0.000297, ""2"": 0.000101, ""3"": 5.8e-05}",1480
elsevier_paper_1178,0,0.887307,"{""0"": 0.887307, ""1"": 0.00016, ""2"": 0.112501, ""3"": 3.1e-05}",451
elsevier_paper_1179,0,0.999687,"{""0"": 0.999687, ""1"": 0.000204, ""2"": 6.9e-05, ""3"": 4e-05}",431
elsevier_paper_118,0,0.815771,"{""0"": 0.815771, ""1"": 0.130587, ""2"": 6.1e-05, ""3"": 0.05358}",435
elsevier_paper_1182,0,0.811641,"{""0"": 0.811641, ""1"": 0.170985, ""2"": 0.017332, ""3"": 4.2e-05}",373
elsevier_paper_1183,0,0.885871,"{""0"": 0.885871, ""1"": 0.050052, ""2"": 0.064033, ""3"": 4.4e-05}",334
elsevier_paper_1185,0,0.97483,"{""0"": 0.97483, ""1"": 0.025047, ""2"": 7.8e-05, ""3"": 4.5e-05}",318
elsevier_paper_1186,0,0.870036,"{""0"": 0.870036, ""1"": 0.129868, ""2"": 6.1e-05, ""3"": 3.5e-05}",412
elsevier_paper_1187,0,0.999764,"{""0"": 0.999764, ""1"": 0.000154, ""2"": 5.2e-05, ""3"": 3e-05}",488
elsevier_paper_1189,0,0.725561,"{""0"": 0.725561, ""1"": 0.274366, ""2"": 4.6e-05, ""3"": 2.6e-05}",526
elsevier_paper_119,0,0.994237,"{""0"": 0.994237, ""1"": 0.005661, ""2"": 6.5e-05, ""3"": 3.7e-05}",380
elsevier_paper_1192,0,0.832039,"{""0"": 0.832039, ""1"": 0.05184, ""2"": 0.013001, ""3"": 0.103119}",372
elsevier_paper_1193,0,0.999638,"{""0"": 0.999638, ""1"": 0.000236, ""2"": 8e-05, ""3"": 4.6e-05}",309
elsevier_paper_120,2,0.495633,"{""0"": 0.267066, ""1"": 0.021193, ""2"": 0.495633, ""3"": 0.216109}",5699
elsevier_paper_1201,0,0.926307,"{""0"": 0.926307, ""1"": 0.01339, ""2"": 0.060262, ""3"": 4.2e-05}",341
elsevier_paper_1202,0,0.821761,"{""0"": 0.821761, ""1"": 0.135585, ""2"": 7.3e-05, ""3"": 0.04258}",356
elsevier_paper_1210,0,0.767808,"{""0"": 0.767808, ""1"": 0.225027, ""2"": 5.1e-05, ""3"": 0.007114}",1503
