token,count
kim,81994
ray,35125
surface,30119
zhang,28437
spectroscopy,27452
xps,24806
photoelectron,19695
growth,16185
precursor,14113
h2o,13280
deposited,13063
oxide,12775
electron,12185
high,11595
water,11119
xrd,10696
plasma,10511
reaction,10317
diffraction,10136
tio2,10114
microscopy,9920
al2o3,9849
study,9628
properties,8158
gas,8060
precursors,7807
doi,7724
pulse,7610
cycle,7226
energy,7223
oxygen,7150
grown,6912
measurements,6755
https,6658
thickness,6411
sio2,6323
wang,6146
time,6061
rate,6055
structure,5828
zno,5723
purge,5664
sahoo,5656
svg,5600
metal,5434
singh,5403
silicon,5384
amorphous,5335
org,5253
reactor,5250
tma,5224
optical,5207
analysis,5102
thermal,5077
scanning,5020
ch3,5014
maaitah,4945
hfo2,4938
sci,4931
low,4846
kondo,4787
formation,4785
cycles,4780
reactions,4765
sem,4718
transmission,4674
review,4638
afm,4632
chem,4592
flow,4573
chemical,4554
species,4536
density,4436
based,4435
pressure,4399
layers,4396
nitrogen,4260
ellipsometry,4240
phase,4226
respectively,4215
data,4150
type,4125
supplementary,4113
performance,4112
fig,4087
groups,4022
results,4000
ion,3955
mechanism,3949
content,3914
appl,3894
measured,3848
exposure,3828
hydrogen,3783
phys,3707
tem,3707
nh3,3670
chen,3667
tin,3613
self,3609
